Frame,HousingNumber,GoProNumber,CameraSerialNumber,BarStartDate,BarEndDate,Active,CreateStart,CreateEnd
CSIRO-SB01,,R01,C3441324988768,2022-03-29 19:30:50,2028-03-29 19:30:50,True,2020-01-02 03:19:46,2020-01-05 05:55:00
CSIRO-SB01,,L01,C3441324991530,2022-03-29 19:30:50,2028-03-29 19:30:50,True,2020-01-02 03:19:46,2020-01-05 05:55:00
CSIRO-SB02,1284,R02,C3441325014126,2022-03-29 19:30:50,2028-03-29 19:30:50,True,2020-01-02 03:19:46,2020-01-05 05:55:00
CSIRO-SB02,1285,L02,C3441325027016,2022-03-29 19:30:50,2028-03-29 19:30:50,True,2023-04-23 10:57:46,2023-04-26 13:32:59
CSIRO-SB03,1286,R03,C3441325027539,2022-03-29 19:30:50,2028-03-29 19:30:50,True,2023-04-23 11:44:48,2023-04-26 12:20:30
CSIRO-SB03,1287,L03,C3441325040033,2022-03-29 19:30:50,2028-03-29 19:30:50,True,2023-04-23 11:44:56,2023-04-26 12:20:38
CSIRO-SB04,1288,R04,C3441325047795,2022-03-29 19:30:50,2028-03-29 19:30:50,True,2023-04-23 11:49:54,2023-04-25 09:59:26
CSIRO-SB04,1289,L04,C3441325092537,2022-03-29 19:30:50,2028-03-29 19:30:50,True,2023-04-23 11:50:04,2023-04-25 09:59:30
CSIRO-SB05,1290,R05,C3441325098663,2022-03-29 19:30:50,2028-03-29 19:30:50,True,2023-04-23 11:28:38,2023-04-25 09:51:05
CSIRO-SB05,1291,L05,C3441325101548,2022-03-29 19:30:50,2028-03-29 19:30:50,True,2023-04-23 11:27:00,2023-04-25 09:51:14
CSIRO-SB06,1292,R06,C3441325102733,2022-03-29 19:30:50,2028-03-29 19:30:50,True,2023-04-23 11:21:00,2023-04-25 09:56:07
CSIRO-SB06,1293,L06,C3441325104879,2022-03-29 19:30:50,2028-03-29 19:30:50,True,2023-04-23 11:21:08,2023-04-25 09:56:06
CSIRO-SB07,1294,R07,C3441325104926,2022-03-29 19:30:50,2028-03-29 19:30:50,True,2023-04-23 11:39:03,2023-04-26 12:24:58
CSIRO-SB07,1295,L07,C3441325107210,2022-03-29 19:30:50,2028-03-29 19:30:50,True,2023-04-23 11:39:08,2023-04-26 12:25:02
CSIRO-SB08,1296,R08,C3441325108149,2022-03-29 19:30:50,2028-03-29 19:30:50,True,2023-04-23 10:46:07,2023-04-26 12:15:08
CSIRO-SB08,1297,L08,C3441325208177,2022-03-29 19:30:50,2028-03-29 19:30:50,True,2023-04-23 10:45:55,2023-04-26 12:15:11
CSIRO-SB09,1298,R09,C3441325111872,2022-03-29 19:30:50,2028-03-29 19:30:50,True,2023-04-20 08:54:06,2023-04-20 08:54:57
CSIRO-SB10,1300,R10,C3441325115188,2022-03-29 19:30:50,2028-03-29 19:30:50,True,2023-04-20 09:09:39,2023-04-26 13:24:52
CSIRO-SB10,1301,L10,C3441325115213,2022-03-29 19:30:50,2028-03-29 19:30:50,True,2023-04-20 09:08:38,2023-04-26 13:24:53
CSIRO-SB11,1302,R11,C3441325199488,2022-03-29 19:30:50,2028-03-29 19:30:50,True,2023-04-20 09:14:41,2023-04-26 13:30:00
CSIRO-SB11,1303,L11,C3441325206923,2022-03-29 19:30:50,2028-03-29 19:30:50,True,2023-04-20 09:14:13,2023-04-26 13:30:14
CSIRO-SB12,1304,R12,C3441325222090,2022-03-29 19:30:50,2028-03-29 19:30:50,True,2023-04-20 09:17:36,2023-04-26 14:13:23
CSIRO-SB12,1305,L12,C3441325211753,2022-03-29 19:30:50,2028-03-29 19:30:50,True,2023-04-04 13:52:28,2023-04-26 14:13:20
CSIRO-SB13,1306,R13,C3441325256135,2022-03-29 19:30:50,2028-03-29 19:30:50,True,2023-04-23 10:53:09,2023-04-26 14:09:07
CSIRO-SB13,1307,L13,C3441325256478,2022-03-29 19:30:50,2028-03-29 19:30:50,True,2023-04-23 10:53:23,2023-04-26 14:09:15
CSIRO-SB14,1308,R14,C3441325261002,2022-03-29 19:30:50,2028-03-29 19:30:50,True,2023-04-20 09:03:14,2023-04-26 14:16:48
CSIRO-SB14,1309,L14,C3441325275037,2022-03-29 19:30:50,2028-03-29 19:30:50,True,2023-04-20 09:04:58,2023-04-26 14:16:56
CSIRO-SB09,1310,L09,C3441325464970,2022-03-29 19:30:50,2028-03-29 19:30:50,True,2023-04-20 08:54:09,2023-04-20 08:55:00
CSIRO-SB16,1311,R16,C3441325495269,2022-03-29 19:30:50,2028-03-29 19:30:50,True,2023-04-20 09:20:23,2023-04-20 09:20:23
CSIRO-SB16,1313,L16,C3441325506299,2022-03-29 19:30:50,2028-03-29 19:30:50,True,2023-04-20 09:20:26,2023-04-20 09:20:26
